symbol,BTC-USD,AVAX-USD,ETH-USD,DOT-USD,MATIC-USD,AAVE-USD,CRV-USD,XRP-USD,MKR-USD,DOGE-USD,BNB-USD,ATOM-USD,SHIB-USD,BTC-USD,AVAX-USD,ETH-USD,DOT-USD,MATIC-USD,AAVE-USD,CRV-USD,XRP-USD,MKR-USD,DOGE-USD,BNB-USD,ATOM-USD,SHIB-USD,BTC-USD,AVAX-USD,ETH-USD,DOT-USD,MATIC-USD,AAVE-USD,CRV-USD,XRP-USD,MKR-USD,DOGE-USD,BNB-USD,ATOM-USD,SHIB-USD
sctr_col,sctr,sctr,sctr,sctr,sctr,sctr,sctr,sctr,sctr,sctr,sctr,sctr,sctr,close,close,close,close,close,close,close,close,close,close,close,close,close,rank,rank,rank,rank,rank,rank,rank,rank,rank,rank,rank,rank,rank
2023-01-10 00:00:00+00:00,50.29094666073968,44.810212760002415,55.90072093739251,45.75355339971153,55.0815744438531,55.47799464002726,51.879220774344134,45.032078470547866,56.581832534671626,51.48856472528645,58.33647491590981,60.06823796996213,49.95983102431046,17446.29296875,12.7312412262,1336.5860595703,4.918806076,0.8584640026,61.8430175781,0.6501799822000001,0.3512409925,631.6663208008,0.0777290016,277.289642334,11.3287801743,9e-06,9.0,13.0,4.0,11.0,6.0,5.0,7.0,12.0,3.0,8.0,2.0,1.0,10.0
2023-01-11 00:00:00+00:00,52.90001350367437,67.0678126925185,59.508851976861564,48.92866932325467,58.95763543274089,58.543266311662116,54.03021631307517,51.318276689930315,57.09552055428037,51.903038629091895,61.62854435019143,63.53401886906134,49.78721533087738,17934.896484375,15.9139242172,1387.9327392578,5.1299791336,0.8934280276000001,64.1788482666,0.6692649722,0.374157995,636.578125,0.0781529993,285.0465087891,11.8347377777,9e-06,9.0,1.0,4.0,13.0,5.0,6.0,8.0,11.0,7.0,10.0,3.0,2.0,12.0
2023-01-12 00:00:00+00:00,57.75473006245198,64.70449912162222,61.04863807890887,49.440106292976836,60.00759090740244,63.39976652931592,55.8727370222391,50.052879349991166,59.73077713047641,53.56921599443921,62.29423153116295,65.06162852858373,49.74399662609286,18869.587890625,15.4573497772,1417.9384765625,5.2294778824,0.9162889719,67.8611373901,0.6891160011,0.3751969934,652.5756835938,0.0802860036,287.8123474121,12.2746915817,9e-06,8.0,2.0,5.0,13.0,6.0,3.0,9.0,11.0,7.0,10.0,4.0,1.0,12.0
2023-01-13 00:00:00+00:00,63.119384936941486,65.16124368711422,63.39315801624468,52.12717898761654,61.507906725563124,68.7785123353449,72.41351256193258,53.255520469163685,66.006472609466,59.31943637482144,64.25866308342344,64.1164800786034,60.3140395028793,19909.57421875,15.962223053,1451.6148681641,5.4017457962,0.9311019778,71.2414627075,0.8034960032,0.3858039975,688.4780883789,0.0844380036,293.733001709,12.3994836807,1e-05,8.0,4.0,7.0,13.0,9.0,2.0,1.0,12.0,3.0,11.0,5.0,6.0,10.0
2023-01-14 00:00:00+00:00,67.81562296131345,64.23505236674052,68.37216980298311,61.53500890113858,67.11278020408231,71.34469345796181,70.49495606599329,54.938703763696154,67.4627183506355,60.52484460006012,65.50706110604986,67.36645558216665,60.09184322377695,20976.298828125,16.9580574036,1550.7069091797,6.0246491432,0.9996709824000001,75.8466186523,0.8150680065,0.3954429924,709.341796875,0.0873230025,305.2411193848,12.8946962357,1e-05,4.0,9.0,3.0,10.0,7.0,1.0,2.0,13.0,5.0,11.0,8.0,6.0,12.0
2023-01-15 00:00:00+00:00,67.20726835943368,66.17390589742423,68.61412663510887,60.113795606985406,66.11890520618407,77.34743789370683,74.19621636850563,53.32038473365003,64.92422853382655,59.94478819101417,64.73791806695374,66.93296133531211,69.91216085909065,20880.798828125,16.7971172333,1552.4794921875,5.9280982018,0.9835180044,79.0471191406,0.8326830268000001,0.3848809898,700.1795043945,0.086130999,302.0706481934,12.7934808731,1.1e-05,5.0,7.0,4.0,11.0,8.0,1.0,2.0,13.0,9.0,12.0,10.0,6.0,3.0
2023-01-16 00:00:00+00:00,68.14852070829434,64.51638426356853,69.29128108754533,56.38145889835947,69.01508851071704,77.84858877208936,79.04980398099782,52.69688593737863,61.6305561720472,55.924474887829135,62.77352872929175,61.26257491786055,69.47546826184372,21169.6328125,16.7407875061,1576.8334960938,5.8107728958,1.0194920301,80.3924560547,0.8716949821000001,0.3865759969,688.28125,0.0836360008,298.9992370605,12.3311891556,1.1e-05,6.0,7.0,4.0,11.0,5.0,2.0,1.0,13.0,9.0,12.0,8.0,10.0,3.0
2023-01-17 00:00:00+00:00,67.95945930002395,66.5861304593885,68.65502139405373,58.194984675166744,65.46517374223146,85.3490253285421,83.90066218527448,53.109827120569896,56.42289293861862,55.35603927378989,57.707113033319864,59.075035448433596,69.05885832755436,21161.51953125,17.1265926361,1567.8460693359,5.9562058449,0.9960119724000001,85.4711151123,0.9133719802,0.3877109885,696.4216308594,0.0829820037,299.8245239258,12.1759996414,1.1e-05,5.0,6.0,4.0,9.0,7.0,1.0,2.0,13.0,11.0,12.0,10.0,8.0,3.0
2023-01-18 00:00:00+00:00,64.62230913321712,56.15793919194156,63.50162769010854,51.379624879712594,56.81482751665369,76.48072691319842,78.17108568389679,50.80430543614295,44.16866210427044,51.13233339837949,50.45354915387251,52.13641215631919,62.0231700746946,20688.78125,15.8043308258,1515.5069580078,5.648100853,0.940120995,82.2407608032,0.8964290023,0.3794519901,639.9946899414,0.08019100130000001,286.9910583496,11.5683917999,1.1e-05,3.0,7.0,4.0,9.0,6.0,2.0,1.0,11.0,13.0,10.0,12.0,8.0,5.0
2023-01-19 00:00:00+00:00,61.2059015568299,57.618609329520595,59.555573615353325,53.06174555321278,58.11869543808715,70.05516731886426,70.68981128301748,54.0982230790356,45.86679867335187,51.822270449156036,53.447260274733836,53.57638293600694,71.3571628464965,21086.79296875,16.1963539124,1552.5565185547,5.8055648804,0.9528899789,81.3141021729,0.9010599852000001,0.39378499980000004,665.7739868164,0.08166000250000001,294.8522033691,12.0275964737,1.2e-05,4.0,7.0,5.0,11.0,6.0,3.0,2.0,8.0,13.0,12.0,10.0,9.0,1.0
2023-01-20 00:00:00+00:00,68.13795880828606,63.22817542836814,65.97176345275615,60.64445218024911,65.48275705335749,75.86739723990901,86.00640839016074,58.8755819593853,51.61909200457276,56.517183249594254,56.03103008534342,62.98754297193215,71.1453757019539,22676.552734375,17.5212745667,1659.7541503906,6.2552428246,1.0262500048,87.7455444336,1.0322660208,0.41334399580000003,716.1292114258,0.0864029974,304.9731750488,13.1680393219,1.2e-05,4.0,7.0,5.0,9.0,6.0,2.0,1.0,10.0,13.0,11.0,12.0,8.0,3.0
2023-01-21 00:00:00+00:00,71.83809230569086,50.520945740059766,66.3874796500703,59.1205988081426,59.57503728390679,73.81776591321739,78.85948498384779,53.007630870778485,53.840943352551164,54.29787102015123,57.5763760450659,62.222241944478576,70.88997324161194,22777.625,16.8964691162,1627.1181640625,6.2494091988000005,0.9899770021000001,84.5762252808,0.9960790277,0.4035330117,699.5333862305,0.0847650021,299.2611694336,13.1004524231,1.2e-05,3.0,13.0,5.0,8.0,7.0,2.0,1.0,12.0,11.0,10.0,9.0,6.0,4.0
2023-01-22 00:00:00+00:00,68.51088393715992,53.31472483914422,65.19372785022907,57.014634030657064,58.65499207875088,71.27101497930582,85.74281862173193,52.11086670057241,53.949468505106154,57.077101991103895,58.32521528893567,61.12616778670343,70.81704926339974,22720.416015625,17.3622722626,1628.3820800781,6.2052659988,0.9940919876000001,85.4381408691,1.073397994,0.4009670019,709.6555786133,0.0883039981,303.0464477539,13.3114910126,1.2e-05,4.0,12.0,5.0,10.0,7.0,2.0,1.0,13.0,11.0,9.0,8.0,6.0,3.0
2023-01-23 00:00:00+00:00,66.48118567859572,54.23910108749869,58.83337450635413,60.589442071769035,57.97251071635124,65.0288903708801,74.59911362944929,56.57607734842111,45.779965797622054,54.923236661742806,53.10963464860477,57.51887450411168,64.85302966827712,22934.431640625,18.0065860748,1628.2510986328,6.5770201683,0.9951890111,86.5972976685,1.0663269758,0.4249430001,705.3880615234,0.0886050016,305.5040893555,13.0956945419,1.2e-05,2.0,11.0,6.0,5.0,7.0,3.0,1.0,9.0,13.0,10.0,12.0,8.0,4.0
2023-01-24 00:00:00+00:00,62.125338894072144,47.45396517958737,53.938606384903416,49.1685048492234,50.734453100443524,56.917337789539836,65.2690025175661,51.07000015711346,44.084592426159816,47.94354036868925,54.579685139070115,50.33953795768992,54.90859035172128,22636.46875,17.0193138123,1556.6042480469,6.1867637634,0.9559280276000001,79.9421157837,0.9936190248000001,0.4077070057,665.3157958984,0.08394999800000001,300.6123352051,12.4521512985,1.1e-05,2.0,12.0,6.0,10.0,8.0,3.0,1.0,7.0,13.0,11.0,5.0,9.0,4.0
